2023-10-11 00:06:04.203 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1696953964202xdv  [0;39m -------开始-------
2023-10-11 13:32:39.644 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m16970023596388q4  [0;39m <==      Total: 1
2023-10-11 13:32:39.645 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m16970023596388q4  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTcwMDIzNTksInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTc1MTU5LCJpYXQiOjE2OTcwMDIzNTl9.DrdvjTu_dCHf2Y6iGIL4nWIn76Y8WivIEWXHZ1AaSlg
2023-10-11 13:32:39.645 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m16970023596388q4  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTcwMDIzNTksInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTc1MTU5LCJpYXQiOjE2OTcwMDIzNTl9.DrdvjTu_dCHf2Y6iGIL4nWIn76Y8WivIEWXHZ1AaSlg","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 13:32:39.645 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m16970023596388q4  [0;39m -------------结束耗时：6ms -----
2023-10-11 13:33:54.574 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m16970024345736dz  [0;39m -------开始-------
2023-10-11 13:33:54.574 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m16970024345736dz  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 13:33:54.574 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m16970024345736dz  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 13:33:54.575 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m16970024345736dz  [0;39m 远程地址：127.0.0.1
2023-10-11 13:33:54.575 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m16970024345736dz  [0;39m 请求参数：[{}]
2023-10-11 13:33:54.576 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m16970024345736dz  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 13:33:54.576 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m16970024345736dz  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 13:33:54.578 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m16970024345736dz  [0;39m <==      Total: 1
2023-10-11 13:33:54.579 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m16970024345736dz  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTcwMDI0MzQsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTc1MjM0LCJpYXQiOjE2OTcwMDI0MzR9.Rl2599rgenJhi2SXn99N_L6E4POLki84qIkhSdOYnPA
2023-10-11 13:33:54.579 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m16970024345736dz  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTcwMDI0MzQsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTc1MjM0LCJpYXQiOjE2OTcwMDI0MzR9.Rl2599rgenJhi2SXn99N_L6E4POLki84qIkhSdOYnPA","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 13:33:54.580 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m16970024345736dz  [0;39m -------------结束耗时：6ms -----
2023-10-11 13:35:43.105 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1697002543096dkr  [0;39m -------开始-------
2023-10-11 13:35:43.106 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1697002543096dkr  [0;39m 请求地址：http://localhost:8001/user-service/helloGET
2023-10-11 13:35:43.106 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1697002543096dkr  [0;39m 类名方法：top.lxyi.share.user.controller.TestController.hello
2023-10-11 13:35:43.106 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1697002543096dkr  [0;39m 远程地址：127.0.0.1
2023-10-11 13:35:43.106 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1697002543096dkr  [0;39m 请求参数：[]
2023-10-11 13:35:43.108 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1697002543096dkr  [0;39m 返回结果："Hello Wrold!"
2023-10-11 13:35:43.108 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1697002543096dkr  [0;39m -------------结束耗时：3ms -----
2023-10-11 13:35:46.045 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1697002546045ky4  [0;39m -------开始-------
2023-10-11 13:35:46.045 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1697002546045ky4  [0;39m 请求地址：http://127.0.0.1:8001/user-service/helloGET
2023-10-11 13:35:46.045 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1697002546045ky4  [0;39m 类名方法：top.lxyi.share.user.controller.TestController.hello
2023-10-11 13:35:46.045 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1697002546045ky4  [0;39m 远程地址：127.0.0.1
2023-10-11 13:35:46.045 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1697002546045ky4  [0;39m 请求参数：[]
2023-10-11 13:35:46.045 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1697002546045ky4  [0;39m 返回结果："Hello Wrold!"
2023-10-11 13:35:46.046 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1697002546045ky4  [0;39m -------------结束耗时：1ms -----
2023-10-11 13:35:49.595 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m16970025495950vc  [0;39m -------开始-------
2023-10-11 13:35:49.596 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m16970025495950vc  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/countGET
2023-10-11 13:35:49.596 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m16970025495950vc  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.count
2023-10-11 13:35:49.596 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m16970025495950vc  [0;39m 远程地址：127.0.0.1
2023-10-11 13:35:49.596 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m16970025495950vc  [0;39m 请求参数：[]
2023-10-11 13:35:49.601 DEBUG top.lxyi.share.user.mapper.UserMapper.selectCount :135  [32m16970025495950vc  [0;39m ==>  Preparing: SELECT COUNT( * ) AS total FROM user
2023-10-11 13:35:49.601 DEBUG top.lxyi.share.user.mapper.UserMapper.selectCount :135  [32m16970025495950vc  [0;39m ==> Parameters: 
2023-10-11 13:35:49.644 DEBUG top.lxyi.share.user.mapper.UserMapper.selectCount :135  [32m16970025495950vc  [0;39m <==      Total: 1
2023-10-11 13:35:49.645 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m16970025495950vc  [0;39m 返回结果：{"data":2,"success":true}
2023-10-11 13:35:49.646 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m16970025495950vc  [0;39m -------------结束耗时：51ms -----
2023-10-11 13:35:51.808 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1697002551806iiz  [0;39m -------开始-------
2023-10-11 13:35:51.808 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1697002551806iiz  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 13:35:51.809 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1697002551806iiz  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 13:35:51.809 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1697002551806iiz  [0;39m 远程地址：127.0.0.1
2023-10-11 13:35:51.809 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1697002551806iiz  [0;39m 请求参数：[{}]
2023-10-11 13:35:51.810 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697002551806iiz  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 13:35:51.811 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697002551806iiz  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 13:35:51.812 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697002551806iiz  [0;39m <==      Total: 1
2023-10-11 13:35:51.813 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m1697002551806iiz  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTcwMDI1NTEsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTc1MzUxLCJpYXQiOjE2OTcwMDI1NTF9.5tZh3W3VkkU6zwqKjryyq64raUn2Guj8btmE1B_y37A
2023-10-11 13:35:51.813 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1697002551806iiz  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTcwMDI1NTEsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTc1MzUxLCJpYXQiOjE2OTcwMDI1NTF9.5tZh3W3VkkU6zwqKjryyq64raUn2Guj8btmE1B_y37A","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 13:35:51.813 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1697002551806iiz  [0;39m -------------结束耗时：5ms -----
2023-10-11 13:35:55.402 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1697002555399gx6  [0;39m -------开始-------
2023-10-11 13:35:55.402 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1697002555399gx6  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/registerPOST
2023-10-11 13:35:55.402 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1697002555399gx6  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.register
2023-10-11 13:35:55.403 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1697002555399gx6  [0;39m 远程地址：127.0.0.1
2023-10-11 13:35:55.403 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1697002555399gx6  [0;39m 请求参数：[{}]
2023-10-11 13:35:55.406 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697002555399gx6  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 13:35:55.407 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697002555399gx6  [0;39m ==> Parameters: 13951905172(String)
2023-10-11 13:35:55.408 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697002555399gx6  [0;39m <==      Total: 1
2023-10-11 13:35:55.421 ERROR t.l.s.common.handler.ControllerExceptionHandler   :29   [32m1697002555399gx6  [0;39m 业务异常：
top.lxyi.share.common.exception.BusinessException: null
	at top.lxyi.share.user.service.UserService.register(UserService.java:55)
	at top.lxyi.share.user.controller.UserController.register(UserController.java:37)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
	at org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(AopUtils.java:343)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ReflectiveMethodInvocation.java:196)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:163)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:751)
	at org.springframework.aop.framework.adapter.MethodBeforeAdviceInterceptor.invoke(MethodBeforeAdviceInterceptor.java:58)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:184)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:751)
	at org.springframework.aop.aspectj.MethodInvocationProceedingJoinPoint.proceed(MethodInvocationProceedingJoinPoint.java:89)
	at top.lxyi.share.common.aspect.LogAspect.doAround(LogAspect.java:76)
	at jdk.internal.reflect.GeneratedMethodAccessor10.invoke(Unknown Source)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
	at org.springframework.aop.aspectj.AbstractAspectJAdvice.invokeAdviceMethodWithGivenArgs(AbstractAspectJAdvice.java:637)
	at org.springframework.aop.aspectj.AbstractAspectJAdvice.invokeAdviceMethod(AbstractAspectJAdvice.java:627)
	at org.springframework.aop.aspectj.AspectJAroundAdvice.invoke(AspectJAroundAdvice.java:71)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:184)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:751)
	at org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ExposeInvocationInterceptor.java:97)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:184)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:751)
	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:703)
	at top.lxyi.share.user.controller.UserController$$SpringCGLIB$$0.register(<generated>)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
	at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:205)
	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:150)
	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:118)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:884)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:797)
	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87)
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1081)
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:974)
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1011)
	at org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:914)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:590)
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:885)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:658)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:205)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:149)
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:174)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:149)
	at org.springframework.web.filter.RequestContextFilter.doFilterInternal(RequestContextFilter.java:100)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:174)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:149)
	at org.springframework.web.filter.FormContentFilter.doFilterInternal(FormContentFilter.java:93)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:174)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:149)
	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:201)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:174)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:149)
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:167)
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:90)
	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:482)
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:115)
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:93)
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:74)
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:341)
	at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:391)
	at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:63)
	at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:894)
	at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1740)
	at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:52)
	at org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1191)
	at org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:659)
	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
	at java.base/java.lang.Thread.run(Thread.java:833)
2023-10-11 13:43:07.144 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m16970029871437su  [0;39m -------开始-------
2023-10-11 13:43:07.144 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m16970029871437su  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 13:43:07.144 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m16970029871437su  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 13:43:07.144 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m16970029871437su  [0;39m 远程地址：127.0.0.1
2023-10-11 13:43:07.145 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m16970029871437su  [0;39m 请求参数：[{}]
2023-10-11 13:43:07.155 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m16970029871437su  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 13:43:07.156 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m16970029871437su  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 13:43:07.159 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m16970029871437su  [0;39m <==      Total: 1
2023-10-11 13:43:07.160 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m16970029871437su  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTcwMDI5ODcsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTc1Nzg3LCJpYXQiOjE2OTcwMDI5ODd9.jr5fhkavSDaPvkT4DTX_OLnO8Ja4TIPvNMnBIBzQLPA
2023-10-11 13:43:07.161 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m16970029871437su  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTcwMDI5ODcsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTc1Nzg3LCJpYXQiOjE2OTcwMDI5ODd9.jr5fhkavSDaPvkT4DTX_OLnO8Ja4TIPvNMnBIBzQLPA","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 13:43:07.161 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m16970029871437su  [0;39m -------------结束耗时：17ms -----
2023-10-11 13:43:12.484 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1697002992484qd4  [0;39m -------开始-------
2023-10-11 13:43:12.485 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1697002992484qd4  [0;39m 请求地址：http://localhost:8001/user-service/helloGET
2023-10-11 13:43:12.485 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1697002992484qd4  [0;39m 类名方法：top.lxyi.share.user.controller.TestController.hello
2023-10-11 13:43:12.485 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1697002992484qd4  [0;39m 远程地址：127.0.0.1
2023-10-11 13:43:12.485 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1697002992484qd4  [0;39m 请求参数：[]
2023-10-11 13:43:12.485 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1697002992484qd4  [0;39m 返回结果："Hello Wrold!"
2023-10-11 13:43:12.485 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1697002992484qd4  [0;39m -------------结束耗时：1ms -----
2023-10-11 13:43:15.713 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1697002995712mh7  [0;39m -------开始-------
2023-10-11 13:43:15.713 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1697002995712mh7  [0;39m 请求地址：http://127.0.0.1:8001/user-service/helloGET
2023-10-11 13:43:15.713 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1697002995712mh7  [0;39m 类名方法：top.lxyi.share.user.controller.TestController.hello
2023-10-11 13:43:15.713 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1697002995712mh7  [0;39m 远程地址：127.0.0.1
2023-10-11 13:43:15.713 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1697002995712mh7  [0;39m 请求参数：[]
2023-10-11 13:43:15.713 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1697002995712mh7  [0;39m 返回结果："Hello Wrold!"
2023-10-11 13:43:15.713 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1697002995712mh7  [0;39m -------------结束耗时：0ms -----
2023-10-11 13:43:18.445 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1697002998445mx7  [0;39m -------开始-------
2023-10-11 13:43:18.446 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1697002998445mx7  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/countGET
2023-10-11 13:43:18.446 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1697002998445mx7  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.count
2023-10-11 13:43:18.446 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1697002998445mx7  [0;39m 远程地址：127.0.0.1
2023-10-11 13:43:18.446 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1697002998445mx7  [0;39m 请求参数：[]
2023-10-11 13:43:18.447 DEBUG top.lxyi.share.user.mapper.UserMapper.selectCount :135  [32m1697002998445mx7  [0;39m ==>  Preparing: SELECT COUNT( * ) AS total FROM user
2023-10-11 13:43:18.448 DEBUG top.lxyi.share.user.mapper.UserMapper.selectCount :135  [32m1697002998445mx7  [0;39m ==> Parameters: 
2023-10-11 13:43:18.449 DEBUG top.lxyi.share.user.mapper.UserMapper.selectCount :135  [32m1697002998445mx7  [0;39m <==      Total: 1
2023-10-11 13:43:18.449 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1697002998445mx7  [0;39m 返回结果：{"data":2,"success":true}
2023-10-11 13:43:18.449 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1697002998445mx7  [0;39m -------------结束耗时：4ms -----
2023-10-11 13:43:24.189 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1697003004185y7y  [0;39m -------开始-------
2023-10-11 13:43:24.190 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1697003004185y7y  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/registerPOST
2023-10-11 13:43:24.190 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1697003004185y7y  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.register
2023-10-11 13:43:24.190 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1697003004185y7y  [0;39m 远程地址：127.0.0.1
2023-10-11 13:43:24.190 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1697003004185y7y  [0;39m 请求参数：[{}]
2023-10-11 13:43:24.194 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697003004185y7y  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 13:43:24.195 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697003004185y7y  [0;39m ==> Parameters: 13951905172(String)
2023-10-11 13:43:24.199 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697003004185y7y  [0;39m <==      Total: 1
2023-10-11 13:43:24.200 ERROR t.l.s.common.handler.ControllerExceptionHandler   :29   [32m1697003004185y7y  [0;39m 业务异常：
top.lxyi.share.common.exception.BusinessException: null
	at top.lxyi.share.user.service.UserService.register(UserService.java:55)
	at top.lxyi.share.user.controller.UserController.register(UserController.java:37)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
	at org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(AopUtils.java:343)
